,series_id,area_name,item_name,date,period,value,inf_yoy
182,CUSR0000SA0,U.S. city average,All items,2012-03-01,M03,228.807,0.025828752813320977
183,CUSR0000SA0,U.S. city average,All items,2012-04-01,M04,229.187,0.022731633741348567
184,CUSR0000SA0,U.S. city average,All items,2012-05-01,M05,228.713,0.01737942937466075
185,CUSR0000SA0,U.S. city average,All items,2012-06-01,M06,228.524,0.01653870448297634
186,CUSR0000SA0,U.S. city average,All items,2012-07-01,M07,228.59,0.014175114798464783
187,CUSR0000SA0,U.S. city average,All items,2012-08-01,M08,229.918,0.016859349154821235
188,CUSR0000SA0,U.S. city average,All items,2012-09-01,M09,231.015,0.019497168982819613
189,CUSR0000SA0,U.S. city average,All items,2012-10-01,M10,231.638,0.021556780595369363
190,CUSR0000SA0,U.S. city average,All items,2012-11-01,M11,231.249,0.017960197033926262
191,CUSR0000SA0,U.S. city average,All items,2012-12-01,M12,231.221,0.017595049796895523
192,CUSR0000SA0,U.S. city average,All items,2013-01-01,M01,231.679,0.01684061762098299
193,CUSR0000SA0,U.S. city average,All items,2013-02-01,M02,232.937,0.020181404902574807
194,CUSR0000SA0,U.S. city average,All items,2013-03-01,M03,232.282,0.015187472411246183
195,CUSR0000SA0,U.S. city average,All items,2013-04-01,M04,231.797,0.01138808047576867
196,CUSR0000SA0,U.S. city average,All items,2013-05-01,M05,231.893,0.013903888279197085
197,CUSR0000SA0,U.S. city average,All items,2013-06-01,M06,232.445,0.017157935271568725
198,CUSR0000SA0,U.S. city average,All items,2013-07-01,M07,232.9,0.01885471805415806
199,CUSR0000SA0,U.S. city average,All items,2013-08-01,M08,233.456,0.01538809488600279
200,CUSR0000SA0,U.S. city average,All items,2013-09-01,M09,233.544,0.010947341081747997
201,CUSR0000SA0,U.S. city average,All items,2013-10-01,M10,233.669,0.00876799143491147
202,CUSR0000SA0,U.S. city average,All items,2013-11-01,M11,234.1,0.012328701961954458
203,CUSR0000SA0,U.S. city average,All items,2013-12-01,M12,234.719,0.015128383667573297
204,CUSR0000SA0,U.S. city average,All items,2014-01-01,M01,235.288,0.01557758795574915
205,CUSR0000SA0,U.S. city average,All items,2014-02-01,M02,235.547,0.011204746347724948
206,CUSR0000SA0,U.S. city average,All items,2014-03-01,M03,236.028,0.016126949139408042
207,CUSR0000SA0,U.S. city average,All items,2014-04-01,M04,236.468,0.02015125303606169
208,CUSR0000SA0,U.S. city average,All items,2014-05-01,M05,236.918,0.02166947687079812
